标题,内容
四川省叙永县2015年地质灾害1/5万详细调查报告,：受“5.12”汶川特大地震的影响，引发崩塌、滑坡、泥石流、地面塌陷、不稳定斜坡等次生地质灾害，根据相关要求，我单位通过资料收集和野外踏勘，积极参与四川省2015年地质灾害详细调查4标段的投标活动，2015年6月取得四川省地灾事务中心的中标通知。叙永县是四川省泸州市下辖县，位于四川盆地南缘，接壤云贵，鸡鸣三省，地理坐标为东经105°03′～105°40′，北纬27°42′～28°31′。资料收集、遥感解译、地质灾害调查测绘、大比例尺地形测量和工程地质测绘、工程地质钻探、山地工程、测试、试验、城镇、居民集中区后山斜坡调查评价、数据采集及数据库建设等。本次详查资料整理及成果编制工作于2015年10月至2016年1月进行，项目成果主要包括文字报告、附图附件和地质灾害信息系统建设3个部分。提交的主要文字成果有：1、四川省2015年叙永县1：50000地质灾害详细调查报告；2、四川省2015年叙永县地质灾害详细调查遥感解译专题报告；3、四川省2015年叙永县地质灾害详细调查物探解译专题报告；4、四川省2015年叙永县地质灾害详细调查重点场镇综合调查报告；5、四川省2015年叙永县地质灾害详细调查典型小流域综合调查报告；6、四川省2015年叙永县地质灾害详细调查重大地质灾害勘查报告7、四川省2015年叙永县地质灾害详细调查数据库建设报告；8、四川省2015年叙永县避险搬迁安置规划报告（建议稿）；9、四川省2015年叙永县重大地质灾害治理工程复核报告；10、四川省2015年叙永县地质灾害防治规划（2015年修编）（建议稿）；
四川省2016年遂宁市射洪县地质灾害详细调查报告,四川省2016年地质灾害详细调查招标项目通过公开招投标方式确定四川省地质调查院为四川省遂宁市射洪县地质灾害详细调查项目承担单位。
四川省木里县地质灾害调查与防治区划报告,"《四川省木里县地质灾害调查与防治区划》项目由四川省地矿局成都水文地质工程地质中心承担。目的是查明木里县的地质灾害隐患，划出地质灾害易发区，建立地质灾害信息系统，为有计划地开展地质灾害防治提供科学依据。完成工作量:地质灾害调查13253km2，调查地质灾害点99个，其中有隐患的泥石流沟22条,滑坡、崩塌69处.不稳定斜坡8处。取得的主要成果：基本查明了区内地质灾害类型主要为滑坡、泥石流灾害,阐述了地质灾害的规模、分布、形成条件、诱发因素。对危害大的滑坡、泥石流，研究了其形体特征、形成条件、影响因素，分析评价了其稳定性。在综合分析影响地质灾害发育的地质环境条件和主导因素的基础上，依据地质灾害发育现状，对木里县地质灾害易发程度进行了分区评价，编制了《四川省木里县地质灾害分布及易发图》。编制了《四川省木里县地质灾害防治规划图》，确定出重点防治区、次重点防治区、一般防治区以及重点防治段。提出地质灾害防治规划，"
四川省阿坝州理县地质灾害详细调查成果报告,根据《四川省地质灾害综合防治体系建设总体方案》，“四川省2016年地质灾害详细调查项目”已由四川省国土资源厅以【川国土资函】2016-80号批准建设，项目业主为四川省地政地藉事务中心，建设资金100%来自中央财政投资，由四川省地政地藉事务中心于2016年4月5日发布该项目的招标公告，对本项目调查工作进行公开招标，其中第29标段为“四川省理县地质灾害详细调查”。成都华建勘察工程公司在资料收集和野外踏勘基础上，通过竞标，承担了“四川省理县2016年地质灾害详细调查第29标段（理县）”工作。在充分收集前期已完成地质灾害调查评价、震后地质灾害应急排查、重大地质灾害应急勘查、安置点地质灾害危险性评估等成果的基础上，充分利用项目区卫星和航空遥感资料，以1:5万地质灾害调查测绘为主，重要城镇及典型小流域开展1：1万地质灾害测绘，辅以工程勘查、试验等技术手段，开展理县地质灾害详细调查。重点对县城、13个乡镇、85个行政村（居委会）、202个居民小组、54所中小学（幼儿园）等人口密集区，米亚罗、毕棚沟、古尔沟、桃坪羌寨等重要风景名胜区，国道G317等重要交通干线，甘堡、理县等11个已建或在建水电站及其他重要基础设施分布区域开展地质灾害详细调查。通过调查，全面复核已有466处地质灾害点，调查新增滑坡、崩塌、泥石流等地质灾害（隐患），基于地质灾害发育规律及工程地质条件分区，开展地质灾害易发性、危险性评价与区划。结合地质灾害隐患点特征、易发性、危害性及受地质灾害威胁农户搬迁意愿，针对性提出防治对策建议，建立地质灾害隐患点台帐、工程治理台帐、排危除险台帐、避险搬迁安置台帐。开展典型小流域1:10000地质灾害测绘，对地质灾害易发性、危险性进行分区评价，结合地质灾害调查及成灾历史、威胁对象等入户访问，实时对受访农户进行地质灾害防灾知识简易培训；落实专业技术人员对受地质灾害威胁群众、群测群防员及相关管理人员定期开展地质灾害防灾知识集中培训；开展汛期驻守督导工作，对汛期突发地质灾害协助地方政府进行现场应急调查及处置，配合当地政府有效开展汛期地质灾害应急抢险和主动预防避让工作。本次详查各项工作能够满足各项技术规范及省厅任务书要求，各项工作质量真实可靠。
四川省西昌市地质灾害调查与防治区划报告,"《四川省西昌市地质灾害调查与防治区划》项目由四川省地矿局成都水文地质工程地质中心承担。目的是查明地质灾害隐患点,划出地质灾害易发区,建立地质灾害信息系统。为西昌市制定地质灾害防治规划提供科学依据。完成工作量:地质灾害调查2654.89km2,调查地质灾害点76处，其中滑坡26处,泥石流50处。取得的主要成果：查明了区内地质灾害类型主要为泥石流、滑坡灾害,阐述了地质灾害的规模、分布、形成条件、诱发因素。对危害大的滑坡、泥石流,研究了其形体特征、形成条件、影响因素，分析评价了其稳定性。对全市76处地质灾害隐患点进行了灾情预评估。在综合分析影响地质灾害发育的地质环境条件和主导因素的基础上,编制了《四川省西昌市地质灾害分布及易发图》,对3个高易发区，3个中易发区和1个低易发区分别进行了阐述。编制了《四川省西昌市地质灾害防治规划图》，确定出重点防治区、次重点防治区、一般防治区以及重点防治段。并提出了防治措施。"
四川省盐源县地质灾害调查与区划报告,"《四川省盐源县地质灾害调查与区划》项目由四川省地矿局成都水文地质工程地质中心承担。目的是查明盐源县地质灾害隐患,圈定地质灾害易发区,建立地质灾害信息系统.为盐源县制定该地区地质环境监督管理提供科学依据。完成工作量:地质灾害调查8388km2,调查地质灾害点198个,其中滑坡101处,泥石流40处,不稳定斜坡48处,地面塌陷7处,地裂缝2条。取得的主要成果：基本查明了区内地质灾害类型、规模、数量、分布、形成条件、诱发因素、稳定性、危害性。对盐源县内的滑坡、泥石流、不稳定斜坡和地面塌陷进行了研究。查明了各类地质灾害的形体特征、形成条件、影响因素,分析评价了其稳定性。对县内地质灾害的发育规律进行了论述。在综合分析影响地质灾害发育的地质环境条件和主要动力因素的基础上，编制了《四川省盐源县地质灾害分布及易发程度分区图》。编制了《四川省盐源县地质灾害防治规划图》，并提出了防治措施。"
四川省44县地震地质灾害应急排查信息系统,《四川省44个严重受灾县(市、区)地质灾害应急排查成果信息系统建设》项目是由中国地质调查局下达任务（任务书编号水[2009]03-14-01），四川省地质环境监测总站承担完成。该项目起止时间为2009年1月至12月，工作经费为100万元人民币。  该项目通过系统收集“5.12”汶川地震灾区44个县的地质灾害排查、巡查工作成果，辅以适量地调查与校核工作，应用数据库技术、GIS技术、组件技术等理论和方法，开发震后地质灾害排查数据管理信息平台，实现排查数据汇总、集成、管理的一体化，为灾后重建规划、避险搬迁选址和地质灾害防治等提供决策支持。  项目主要成果包括：(1)《四川省44个严重受灾县(市、区)地质灾害应急排查成果信息系统建设报告》；(2)四川省44个严重受灾县(市、区)地质灾害应急排查地质灾害分布图集；(3)地质灾害信息综合基础数据库；(4)地质灾害信息管理系统；(5)系统需求报告；(6)概要设计报告；(7)系统详细设计报告；(8)软件测试文档；(9)系统使用手册。
四川省泸州市地质灾害调查研究报告,根据四川省地质环境监测总站下达的任务要求，该站对泸州市的主要环境地质问题，开展工程地质和环境地质的综合调查。在充分利用收集资料和野外调查的基础上经过综合分析研究编制了本报告。报告内容包括五个部分：一.自然地质环境及社会经济活动；二.地质灾害及分布特征；三.地质灾害分区；四.地质灾害的防治对策；五.结论与建议。附图为《四川省泸州市地质灾害分布图》
四川省县（市）地质灾害调查与区划综合研究报告,《四川省县（市）地质灾害调查与区划综合研究报告》由四川省地勘局成都水文地质工程地质队完成。目的：查明该区不同地质灾害类型的发育分布规律，重大地质灾害隐患点分布及危害程度，划定地质灾害易发区；客观分析县（市、区）地质灾害调查及群测群防体系运行的防灾减灾效果。该区行政区划隶属四川省管辖。完成工作量：地质灾害调查46.90万平方千米，调查乡镇4424个、行政村48393个，各类地质灾害点27434处，拍摄照片8万余张等。取得成果：查明了该区地形地貌、地层岩性、地质构造、水文地质条件、工程地质特征及人类工程活动等。全省共查明地质灾害灾情和险情隐患记录27434处，其中不稳定斜坡调查点3731处，滑坡调查点13777处，崩塌调查点6385处，泥石流调查点3171处，地面塌陷调查点275处，地裂缝调查点95处，查明了其分布范围、规模、结构特征、影响因素和引发因素等，并对其稳定性、危害程度及潜在危险性进行了评价。将四川省境内划分为地质灾害高易发区、中易发区、低易发和不易发四个级别的地质灾害易发区，查明了每个区的特征、地质灾害发育分布特点、灾类数量及其危害对象，容易发生的灾害及其发生条件。将四川省划分为重点防治区、次重点防治区和一般防治区等3个区，10个亚区，建立了动态的群测群防、群专结合的监测预警网络；另对严重威胁人民生命财产的15478处地质灾害点采取了搬迁避让、专业监测或工程治理措施。
四川省甘孜州炉霍县地质灾害详细调查成果报告,四川省甘孜州炉霍县2016年地质灾害详细调查为四川省国土资源厅确定的四川省2016年地质灾害详细调查项目之一，由四川省国土资源厅以【川国土资办函】2016-80号批准建设，项目业主为四川省地政地籍事务中心，建设资金来自地方财政，项目出资比例为100%。  通过遥感解译、地面调查、测绘，辅以勘探、物探、试验等技术手段，开展四川省甘孜州炉霍县滑坡、崩塌、泥石流及不稳定斜坡等地质灾害调查、测绘与勘查，查明县域地质灾害分布发育特征及孕灾的地质环境条件，科学评价其危害性；划定地质灾害易发区、危险区；编制县域地质灾害防治区划、避险搬迁安置工程区划、重点场镇和典型小流域综合整治项目建议，复核已实施重大地质灾害治理工程功效，从而达到有效服务基层防灾减灾工作，减轻地质灾害造成的人员伤亡及财产损失，推进社会经济可持续发展的目的。  炉霍县位于甘孜藏族自治州中北部，全县平均海拔3860米，炉霍县辖区面积5796.64平方公里，辖14个乡、2个镇、4个工委，171个行政村，其中藏族占95.1%。  截止2016年10月，炉霍县地质灾害1:5万详细调查结束，共调查地质灾害158处，其中泥石流103处，滑坡32处，不稳定斜坡22处，崩塌1处。经2016年地质灾害1:5万详细调查，销号15处，现存灾害点143处；移交交通部门7处，水利部门2处，现存国土部门灾害点134处。  从现存灾害点143处统计：崩塌1处（8户49人，威胁财产170万元）、不稳定斜坡19处（威胁144户846人，威胁财产3235万元）、滑坡29处（威胁238户2046人，威胁财产8973万元）、泥石流94处（威胁932户5419人，威胁财产24029万元）
